15
A1:b,a
A2: continuous
A3: continuous
A4: g, p, gg
A5: c, d, cc, i, j, k, m, r, q, w, x, e, aa, ff
A6: v, h, bb, j, n, z, dd, ff, o
A7: continuous
A8:t,f
A9:t, f
A10:continuous
A11:t, f
A12: g, p, s
A13: continuous
A14: continuous
A15:+,-
690
b,30.83,0,g,w,v,1.25,t,t,1,f,g,202,1,+
a,58.67,4.46,g,q,h,3.04,t,t,6,f,g,43,561,+
a,24.5,0.5,g,q,h,1.5,t,f,0,f,g,280,825,+
b,27.83,1.54,g,w,v,3.75,t,t,5,t,g,100,4,+
b,20.17,5.625,g,w,v,1.71,t,f,0,f,s,120,1,+
b,32.08,4,g,m,v,2.5,t,f,0,t,g,360,1,+
b,33.17,1.04,g,r,h,6.5,t,f,0,t,g,164,31286,+
a,22.92,11.585,g,cc,v,0.04,t,f,0,f,g,80,1350,+
b,54.42,0.5,p,k,h,3.96,t,f,0,f,g,180,315,+
b,42.5,4.915,p,w,v,3.165,t,f,0,t,g,52,1443,+
b,22.08,0.83,g,c,h,2.165,f,f,0,t,g,128,1,+
b,29.92,1.835,g,c,h,4.335,t,f,0,f,g,260,201,+
a,38.25,6,g,k,v,1,t,f,0,t,g,0,1,+
b,48.08,6.04,g,k,v,0.04,f,f,0,f,g,0,2691,+
a,45.83,10.5,g,q,v,5,t,t,7,t,g,0,1,+
b,36.67,4.415,p,k,v,0.25,t,t,10,t,g,320,1,+
b,28.25,0.875,g,m,v,0.96,t,t,3,t,g,396,1,+
a,23.25,5.875,g,q,v,3.17,t,t,10,f,g,120,246,+
b,21.83,0.25,g,d,h,0.665,t,f,0,t,g,0,1,+
a,19.17,8.585,g,cc,h,0.75,t,t,7,f,g,96,1,+
b,25,11.25,g,c,v,2.5,t,t,17,f,g,200,1209,+
b,23.25,1,g,c,v,0.835,t,f,0,f,s,300,1,+
a,47.75,8,g,c,v,7.875,t,t,6,t,g,0,1261,+
a,27.42,14.5,g,x,h,3.085,t,t,1,f,g,120,12,+
a,41.17,6.5,g,q,v,0.5,t,t,3,t,g,145,1,+
a,15.83,0.585,g,c,h,1.5,t,t,2,f,g,100,1,+
a,47,13,g,i,bb,5.165,t,t,9,t,g,0,1,+
b,56.58,18.5,g,d,bb,15,t,t,17,t,g,0,1,+
b,57.42,8.5,g,e,h,7,t,t,3,f,g,0,1,+
b,42.08,1.04,g,w,v,5,t,t,6,t,g,500,10001,+
b,29.25,14.79,g,aa,v,5.04,t,t,5,t,g,168,1,+
b,42,9.79,g,x,h,7.96,t,t,8,f,g,0,1,+
b,49.5,7.585,g,i,bb,7.585,t,t,15,t,g,0,5001,+
a,36.75,5.125,g,e,v,5,t,f,0,t,g,0,4001,+
a,22.58,10.75,g,q,v,0.415,t,t,5,t,g,0,561,+
b,27.83,1.5,g,w,v,2,t,t,11,t,g,434,36,+
b,27.25,1.585,g,cc,h,1.835,t,t,12,t,g,583,714,+
a,23,11.75,g,x,h,0.5,t,t,2,t,g,300,552,+
b,27.75,0.585,p,cc,v,0.25,t,t,2,f,g,260,501,+
b,54.58,9.415,g,ff,ff,14.415,t,t,11,t,g,30,301,+
b,34.17,9.17,g,c,v,4.5,t,t,12,t,g,0,222,+
b,28.92,15,g,c,h,5.335,t,t,11,f,g,0,2284,+
b,29.67,1.415,g,w,h,0.75,t,t,1,f,g,240,101,+
b,39.58,13.915,g,w,v,8.625,t,t,6,t,g,70,1,+
b,56.42,28,p,c,v,28.5,t,t,40,f,g,0,16,+
b,54.33,6.75,g,c,h,2.625,t,t,11,t,g,0,285,+
a,41,2.04,p,q,h,0.125,t,t,23,t,g,455,1237,+
b,31.92,4.46,g,cc,h,6.04,t,t,3,f,g,311,301,+
b,41.5,1.54,g,i,bb,3.5,f,f,0,f,g,216,1,+
b,23.92,0.665,g,c,v,0.165,f,f,0,f,g,100,1,+
a,25.75,0.5,g,c,h,0.875,t,f,0,t,g,491,1,+
b,26,1,g,q,v,1.75,t,f,0,t,g,280,1,+
b,37.42,2.04,g,w,v,0.04,t,f,0,t,g,400,5801,+
b,34.92,2.5,g,w,v,0,t,f,0,t,g,239,201,+
b,34.25,3,g,cc,h,7.415,t,f,0,t,g,0,1,+
b,23.33,11.625,p,w,v,0.835,t,f,0,t,g,160,301,+
b,23.17,0,g,cc,v,0.085,t,f,0,f,g,0,1,+
b,44.33,0.5,g,i,h,5,t,f,0,t,g,320,1,+
b,35.17,4.5,g,x,h,5.75,f,f,0,t,s,711,1,+
b,43.25,3,g,q,h,6,t,t,11,f,g,80,1,+
b,56.75,12.25,g,m,v,1.25,t,t,4,t,g,200,1,+
b,31.67,16.165,g,d,v,3,t,t,9,f,g,250,731,+
a,23.42,0.79,p,q,v,1.5,t,t,2,t,g,80,401,+
a,20.42,0.835,g,q,v,1.585,t,t,1,f,g,0,1,+
b,26.67,4.25,g,cc,v,4.29,t,t,1,t,g,120,1,+
b,34.17,1.54,g,cc,v,1.54,t,t,1,t,g,520,50001,+
a,36,1,g,c,v,2,t,t,11,f,g,0,457,+
b,25.5,0.375,g,m,v,0.25,t,t,3,f,g,260,15109,+
b,19.42,6.5,g,w,h,1.46,t,t,7,f,g,80,2955,+
b,35.17,25.125,g,x,h,1.625,t,t,1,t,g,515,501,+
b,32.33,7.5,g,e,bb,1.585,t,f,0,t,s,420,1,-
b,34.83,4,g,d,bb,12.5,t,f,0,t,g,?,1,-
a,38.58,5,g,cc,v,13.5,t,f,0,t,g,980,1,-
b,44.25,0.5,g,m,v,10.75,t,f,0,f,s,400,1,-
b,44.83,7,p,c,v,1.625,f,f,0,f,g,160,3,-
b,20.67,5.29,g,q,v,0.375,t,t,1,f,g,160,1,-
